"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Book title","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Journal Article","Moore MM,Brown PM","","The association of self-regulation, habit, and mindfulness with texting while driving","Accident Analysis & Prevention","2019","123","","20-28","","","","2019","","0001-4575","https://www.sciencedirect.com/science/article/pii/S0001457518308431;http://dx.doi.org/10.1016/j.aap.2018.10.013","10.1016/j.aap.2018.10.013","The saturation of mobile phones throughout Australia has led to some individuals being unable to regulate their use within situations that are inappropriate or risky. One of the most prevalent risky mobile phone use behaviours is texting while driving. Attempts to explain texting while driving suggest cognitive variables and personality characteristics are key factors. This study explored relationships between trait self-regulation, habitual text messaging, trait mindfulness, and texting while driving. One hundred and seventy participants comprising Australian undergraduate psychology students and members of the public completed an online survey measuring trait self-regulation, habitual text messaging behaviour, trait mindfulness, and frequency of texting while driving. It was found that habitual texting behaviour mediated the relationship between trait self-regulation and frequency of texting while driving. Additionally, trait mindfulness moderated the relationship between habit and texting while driving, such that habitual texting was significantly, positively related to texting while driving, but only for individuals with low to moderate trait mindfulness. These results suggest personality constructs related to attention, awareness, and control of behaviour play a significant role in counteracting the association that habitual texting behaviour has with the frequency of texting while driving. As these traits are considered malleable, this association may be applicable in future development of intervention programs aimed at increasing control over mobile phone use and reducing the frequency with which people text while driving.","Driving, Habit, Mindfulness, Mobile phone, Self-regulation, Texting","",""
"Journal Article","Achtziger A,Hubert M,Kenning P,Raab G,Reisch L","","Debt out of control: The links between self-control, compulsive buying, and real debts","Journal of Economic Psychology","2015","49","","141-149","","","","2015","","0167-4870","https://www.sciencedirect.com/science/article/pii/S0167487015000471;http://dx.doi.org/10.1016/j.joep.2015.04.003","10.1016/j.joep.2015.04.003","In a representative sample of the German population (n=946), we explored the links between self-control, compulsive buying, and debts. Participants completed the self-control scale (Tangney, Boone, & Baumeister, 2004) and the German Addictive Buying Scale (Raab, Neuner, Reisch, & Scherhorn, 2005). Additionally, they gave information about their real debts. It was observed that self-control was negatively related to debts while compulsive buying was positively related to debts. Detailed analyses revealed that the link between self-control and debts was fully mediated by compulsive buying. Finally, there was a gender effect on compulsive buying: women were more prone to compulsive buying than men. Age also was significantly negatively related to compulsive buying and positively linked to self-control. Household income was not linked to self-control, compulsive buying, and debts. Implications for practice, policy, and research are discussed.","Self-control, Compulsive buying, Consumer debts, Indebtedness factors","",""
"Journal Article","Ein-Gar D","","Committing under the shadow of tomorrow: Self-control and commitment to future virtuous behaviors","Journal of Consumer Psychology","2015","25","2","268-285","","","","2015","","1057-7408","https://www.sciencedirect.com/science/article/pii/S1057740814000953;http://dx.doi.org/10.1016/j.jcps.2014.08.006","10.1016/j.jcps.2014.08.006","Individuals acknowledge the importance of engaging in virtuous behaviors, but find them difficult. Past research suggests that a distant-future focus may result in more commitment. This research demonstrates that, for certain consumers, distant-future execution timing may discourage commitment. Specifically, whereas low self-control consumers are indeed more likely to commit to distant-future behaviors, high self-control consumers are more likely to commit to near-future behaviors. This is demonstrated when commitment does not hold a cost (study 1), but also when it does (study 2). Consumers' time availability certainty underlies the effect: Low self-control consumers feel more certain that in the distant future they will be able to identify the time necessary to fulfill their commitments, whereas high self-control consumers feel more certain regarding their ability to identify their available time in the near future (studies 3a–3b). The effect is shown to occur only when the commitment's time of execution reflects different levels of time concreteness: The effect is eliminated among consumers who perceive the near and distant future as equally concrete or abstract (study 4).","Virtuous behaviors, Commitment, Self-control, Time focus, Pro-social behavior","",""
"Journal Article","Manuel Sofia R,Cruz JF","","Self-control as a mechanism for controlling aggression: A study in the context of sport competition","Personality and Individual Differences","2015","87","","302-306","","","","2015","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886915005309;http://dx.doi.org/10.1016/j.paid.2015.08.025","10.1016/j.paid.2015.08.025","Self-control is one of the most important structures of human personality and has been linked to a wide variety of benefits for the individual, and for society. Additionally, self-control has been consistently reported, both empirically and theoretically, as a major disposition in the regulation of aggressive behavior. Taking the advantages of the sport context as a natural environment to study human aggression, this study explored the individual differences in aggressive and anti-social behaviors as function of self-control capacity and gender. Results converged to the idea that athletes with higher levels of self-control capacity seem to be better at controlling aggression, and male athletes tend to be more aggressive. These findings not only support previous laboratory findings, but also suggest the importance of the promotion of self-control capacity as a strategy to control aggression in the domain of sport.","Self-control, Aggression, Anger, Anti-social behavior, Sport competition","",""
"Journal Article","Gledhill A,Harwood C,Forsdyke D","","Psychosocial factors associated with talent development in football: A systematic review","Psychology of Sport and Exercise","2017","31","","93-112","","","","2017","","1469-0292","https://www.sciencedirect.com/science/article/pii/S1469029217302169;http://dx.doi.org/10.1016/j.psychsport.2017.04.002","10.1016/j.psychsport.2017.04.002","Objectives To provide a critical systematic review of recent research into psychosocial factors associated with talent development in football. Design Systematic review informed by the PRISMA guidelines. Method Literature was sourced from Science Direct, Sport Discus, Psycharticles and Psychinfo. This was followed by a detailed screening and sifting process to identify literature. Identified literature was independently appraised by multiple reviewers using the mixed-methods Appraisal Tool (MMAT). Data was represented using concept mapping. Results Forty-three studies met the inclusion criteria. They investigated a cumulative 14,977 participants and gleaned 48 psychosocial factors associated with talent development in football. Findings suggest that social and psychological factors are interrelated and influence adaptive developmental behaviours (e.g., adaptive lifestyle choices, practice and play behaviours). These can influence coach perceptions of players and whether they may recommend players for career progression. Independent MMAT appraisal demonstrated a moderate risk of bias. Female football players and female coaches are significantly under-represented in the literature; with white, adolescent, able-bodied, male European football players dominating the literature. Descriptive, cross-sectional, correlational and retrospective designs are most commonly adopted in the literature. Conclusions Psychosocial factors can differentiate between performance levels of football or are positively associated with career progression to a senior elite level in football, however findings should be viewed with caution due to a moderate risk of bias in reporting. The research area would be advanced by diversification of participant groups, longitudinal, prospective designs, and by testing the predictive validity of existing grounded theories.","Talent development, Football, Psychosocial factors, MMAT, Concept mapping, Sport psychology","",""
"Journal Article","Frost RO,Rosenfield E,Steketee G,Tolin DF","","An examination of excessive acquisition in hoarding disorder","Journal of Obsessive-Compulsive and Related Disorders","2013","2","3","338-345","","","","2013","","2211-3649","https://www.sciencedirect.com/science/article/pii/S2211364913000444;http://dx.doi.org/10.1016/j.jocrd.2013.06.001","10.1016/j.jocrd.2013.06.001","Although much has been written about hoarding recently, excessive acquisition in hoarding has remained relatively unexplored. The present study examined the types and role of acquisition and acquisition avoidance in hoarding. Of the 852 people who identified themselves as having problems with hoarding and volunteered for an internet study, 526 completed principle study measures, and 369 of these met criteria for clinically significant hoarding. In addition, 469 family and friend informants completed measures about a hoarding loved one. Sixty percent of those who met criteria for hoarding also met criteria for excessive acquisition. Of the remainder, nearly 70% reported acquiring problems in the past. Overall, 88% of hoarding participants had problems with acquisition currently or in the past. Ninety-two percent of informants reported moderate or greater levels of acquisition on the part of their hoarding family member or friend. Comparisons of current, past, and non-acquirers indicated differences with respect to hoarding severity and associated features (e.g., cognitive failures, self-control, perfectionism). Further, a substantial number in all three groups reported avoidance of acquisition-related cues. Only a few cases reported stealing behavior. Inhibited self-control emerged as a significant predictor of excessive buying, while cognitive failures predicted both buying and free acquisition.","Hoarding, Hoarding disorder, Acquisition, Compulsive buying","",""
"Journal Article","Ng-Knight T,Shelton KH,Frederickson N,McManus IC,Rice F","","Maternal depressive symptoms and adolescent academic attainment: Testing pathways via parenting and self-control","Journal of Adolescence","2018","62","","61-69","","","","2018","","0140-1971","https://www.sciencedirect.com/science/article/pii/S0140197117301768;http://dx.doi.org/10.1016/j.adolescence.2017.11.003","10.1016/j.adolescence.2017.11.003","Maternal depression is associated with reduced academic attainment in children, however, it is not clear how this association comes about. Depressive symptoms are associated with impairment in social roles including parenting. Children's self-control is an important contributor to academic attainment and is influenced by parenting. We therefore hypothesised that impaired parenting and children's self-control may mediate links between maternal depression and children's academic attainment. Data were from a brief longitudinal study (3 waves) of UK children aged 11–12 years and their mothers. Higher maternal depressive symptoms at baseline were associated with lower academic attainment in children assessed one year later. There was evidence to support an indirect effect of maternal depressive symptoms on children's academic attainment through the mother-child and the father-child relationship which, in turn, reduced children's self-control. These influences were independent of socio-economic deprivation. A direct effect of maternal depression on children's academic attainment was also observed.","Maternal depression, Academic attainment, Education, Self-control, Parenting","",""
"Journal Article","Schmidt-Barad T,Uziel L","","When (state and trait) powers collide: Effects of power-incongruence and self-control on prosocial behavior","Personality and Individual Differences","2020","162","","110009","","","","2020","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886920301987;http://dx.doi.org/10.1016/j.paid.2020.110009","10.1016/j.paid.2020.110009","This research addresses the impact of incongruence between trait and state power on the link between self-control and prosocial behavior. Past research has established that self-control is a powerful resource for behavioral flexibility, enabling one to execute tough, yet personally rewarding, decisions under challenging circumstances. State-trait power-incongruence may pose a threat on individuals, encouraging self-preservation at the expense of others. In this context, self-control is predicted to be associated with self-serving motives and behavior. The present article offers a first empirical test of this possibility. Two experiments demonstrated that under power-incongruence, self-control was associated with less emphasis on prosocial values (Study 1) and behavior (Study 2). Study 3 demonstrated that self-affirmation counters this effect, supporting the notion that power-incongruence poses a threat to the integrity of the self. Implications and directions for future research are discussed.","Power, Power-incongruence, Self-control, Prosociality","",""
"Journal Article","Groß D","","Action versus state orientation moderates the relation between executive function task performance and resting heart rate variability","Journal of Research in Personality","2020","86","","103936","","","","2020","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656620300258;http://dx.doi.org/10.1016/j.jrp.2020.103936","10.1016/j.jrp.2020.103936","Despite a considerable rationale for a relationship between executive functions (EFs) and resting heart rate variability based on the neurovisceral integration model, meta-analyses reveal relatively small effect sizes. This study aims to evaluate this relationship in three EF tasks by taking task characteristics and implicit affect and attention regulation measured by action-state orientation into account. Analyzing 154 participants (M = 23.56 years; SD = 3.14) indicated that the relationship was moderated by action-state orientation. However, the Johnson-Neyman test only found a relationship for state-oriented individuals, which also differed in the direction between demanding and low-demanding tasks. Therefore, this study cannot fully confirm the neurovisceral integration model. Implications for future research are discussed.","Executive functions, Resting heart rate variability, Action-state orientation, Neurovisceral integration model","",""
"Journal Article","He N,Xiang Y","","How child maltreatment impacts internalized/externalized aggression among Chinese adolescents from perspectives of social comparison and the general aggression model","Child Abuse & Neglect","2021","117","","105024","","","","2021","","0145-2134","https://www.sciencedirect.com/science/article/pii/S0145213421000971;http://dx.doi.org/10.1016/j.chiabu.2021.105024","10.1016/j.chiabu.2021.105024","Background Child maltreatment is believed to have a tight correlation with adolescent problem behaviors, and one of them is aggression. According to different attack targets, aggression can be divided into internalized aggression (attack oneself) and externalized aggression (attack others), both of which are negatively influenced by child maltreatment. However, little is known about the potential mechanisms of the effect from child maltreatment to internalized/externalized aggression. Objective Based on the perspectives of social comparison and the general aggression model, the present study examined the mediating effects of benign envy, malicious envy and self-control between child maltreatment and internalized/externalized aggression. Participants and setting 1951 adolescents (49 % girls, Mage = 12.93 years, SD = 2.54) from mainland China were recruited. Methods Based on the retrospective self-reporting of five questionnaires, structural equation modeling and bootstrap estimation procedure were adopted to identify the mediating effects of benign envy, malicious envy and self-control. Results The structural model fitted well [χ2 (178, 1951) = 1601.176, p < .001; RMSEA = 0.064; SRMR = 0.076; CFI = 0.913]. Benign envy (95 % CI [0.013, 0.002], [−0.040, −0.079]), malicious envy (95 % CI [0.044, 0.024], [0.363, 0.241]) and self-control (95 % CI [0.025, 0.005], [0.264, 0.166]) played a significant mediating role between child maltreatment and internalized/externalized aggression. Conclusion Benign envy, malicious envy and self-control played an important mediating role between child maltreatment and internalized/externalized aggression, which may provide a theoretical basis for future interventions to reduce adolescent problem behaviors, paying more attention to the improvement of emotion regulation and self-control.","Child maltreatment, Internalized aggression, Externalized aggression, Benign envy, Malicious envy, Self-control","",""
"Journal Article","Grubbs JB,Wilt JA,Exline JJ,Pargament KI","","Predicting pornography use over time: Does self-reported “addiction” matter?","Addictive Behaviors","2018","82","","57-64","","","","2018","","0306-4603","https://www.sciencedirect.com/science/article/pii/S0306460318300935;http://dx.doi.org/10.1016/j.addbeh.2018.02.028","10.1016/j.addbeh.2018.02.028","In recent years, several works have reported on perceived addiction to internet pornography, or the potential for some individuals to label their own use of pornography as compulsive or out of control. Such works have consistently found that perceived addiction is related to concerning outcomes such as psychological distress, relational distress, and other addictive behaviors. However, very little work has specifically examined whether or not perceived addiction is actually related to increased use of pornography, cross-sectionally or over time. The present work sought to address this deficit in the literature. Using two longitudinal samples (Sample 1, Baseline N = 3988; Sample 2, Baseline N = 1047), a variety of factors (e.g., male gender, lower religiousness, and lower self-control) were found to predict any use of pornography. Among those that acknowledged use (Sample 1, Baseline N = 1352; Sample 2, Baseline N = 793), perceived addiction to pornography consistently predicted greater average daily use of pornography. At subsequent longitudinal follow-ups (Sample 1, Baseline N = 265; Sample 2, One Month Later, N = 410, One Year Later, N = 360), only male gender and baseline average pornography use consistently predicted future use. These findings suggest that perceived addiction to pornography is associated with concurrent use of pornography, but does not appear to predict use over time, suggesting that perceived addiction may not always be an accurate indicator of behavior or addiction.","Pornography, Technology, Addiction, Longitudinal, Perception, Religion","",""
"Journal Article","Kashdan TB,Rottenberg J","","Psychological flexibility as a fundamental aspect of health","Clinical Psychology Review","2010","30","7","865-878","","","","2010","","0272-7358","https://www.sciencedirect.com/science/article/pii/S0272735810000413;http://dx.doi.org/10.1016/j.cpr.2010.03.001","10.1016/j.cpr.2010.03.001","Traditionally, positive emotions and thoughts, strengths, and the satisfaction of basic psychological needs for belonging, competence, and autonomy have been seen as the cornerstones of psychological health. Without disputing their importance, these foci fail to capture many of the fluctuating, conflicting forces that are readily apparent when people navigate the environment and social world. In this paper, we review literature to offer evidence for the prominence of psychological flexibility in understanding psychological health. Thus far, the importance of psychological flexibility has been obscured by the isolation and disconnection of research conducted on this topic. Psychological flexibility spans a wide range of human abilities to: recognize and adapt to various situational demands; shift mindsets or behavioral repertoires when these strategies compromise personal or social functioning; maintain balance among important life domains; and be aware, open, and committed to behaviors that are congruent with deeply held values. In many forms of psychopathology, these flexibility processes are absent. In hopes of creating a more coherent understanding, we synthesize work in emotion regulation, mindfulness and acceptance, social and personality psychology, and neuropsychology. Basic research findings provide insight into the nature, correlates, and consequences of psychological flexibility and applied research provides details on promising interventions. Throughout, we emphasize dynamic approaches that might capture this fluid construct in the real-world.","Flexibility, Self-regulation, Emotion regulation, Mindfulness, Resilience, Vulnerability","Positive Clinical Psychology",""
"Journal Article","Wang M,Deng X,Du X","","Harsh parenting and academic achievement in Chinese adolescents: Potential mediating roles of effortful control and classroom engagement","Journal of School Psychology","2018","67","","16-30","","","","2018","","0022-4405","https://www.sciencedirect.com/science/article/pii/S002244051730095X;http://dx.doi.org/10.1016/j.jsp.2017.09.002","10.1016/j.jsp.2017.09.002","This study examined (a) the potential mediating roles of effortful control and classroom engagement in the association between harsh parenting and adolescent academic achievement, and (b) the potential moderating role of gender. Sixth through eighth graders in rural China (n=815, mean age=12.55years) reported on harsh parenting, effortful control, and classroom engagement. Parents also reported on each other's harsh parenting. Academic achievement was assessed by students' test scores and teacher-rated academic performance. Results of structural equation modeling revealed gender differences in patterns of association among the model variables. Harsh parenting was negatively and directly associated with academic achievement for both boys and girls. It was also negatively and indirectly associated with academic achievement via effortful control and classroom engagement sequentially, forming a common indirect “path” for boys and girls. The indirect negative effect of harsh parenting on boys' academic achievement was mainly realized through the mediator of effortful control, whereas this same indirect effect for girls was mainly realized through the mediator of classroom engagement. Jointly, effortful control and classroom engagement precipitates more indirect effects for boys than for girls in the association between harsh parenting and academic achievement. The discussion analyzes the potential “paths” from harsh parenting to adolescent academic achievement, as well as gender differences in these “paths.” The current study has implications for teachers and parents eager to improve students' classroom engagement and academic achievement.","Harsh parenting, Academic achievement, Effortful control, Classroom engagement","",""
"Journal Article","Achtziger A,Alós-Ferrer C,Wagner AK","","The impact of self-control depletion on social preferences in the ultimatum game","Journal of Economic Psychology","2016","53","","1-16","","","","2016","","0167-4870","https://www.sciencedirect.com/science/article/pii/S0167487015001476;http://dx.doi.org/10.1016/j.joep.2015.12.005","10.1016/j.joep.2015.12.005","We study the interaction of different motives and decision processes in determining behavior in the ultimatum game. We rely on an ego-depletion manipulation which consumes self-control resources, thereby enhancing the influence of default reactions, or in psychological terms, automatic processes. Experimental results provide evidence that proposers make higher offers under ego depletion. Based on findings from a closely related dictator game study, which shows that depleted dictators give less than non-depleted ones, we discard the possibility that other-regarding concerns are the default mode. Instead, we conclude that depleted proposers offer more because of a strategic ‘fear of rejection’ of low offers, consistent with self-centered monetary concerns. For responders, ego depletion increases the likelihood to accept offers, in line with unconditional monetary concerns being more automatic than affect-influenced reactions to reject unfair offers.","Ultimatum game, Self-control, Ego depletion, Social preferences","",""
"Journal Article","Mumford EA,Taylor BG,Berg M,Liu W,Miesfeld N","","The social anatomy of adverse childhood experiences and aggression in a representative sample of young adults in the U.S","Child Abuse & Neglect","2019","88","","15-27","","","","2019","","0145-2134","https://www.sciencedirect.com/science/article/pii/S0145213418304046;http://dx.doi.org/10.1016/j.chiabu.2018.10.016","10.1016/j.chiabu.2018.10.016","Objective The current study assesses the effect of adverse childhood experiences on later aggression and violence across young adult relationships contexts, including intimate partners, friends, or strangers. Method Surveys were conducted with a nationally representative sample of young adults ages 18–32, drawn from the AmeriSpeak panel, a probability-based panel with coverage of 97% of U.S. households. The weighted study sample is 2284 young adult respondents, of whom 1561 reported being in an intimate partnership. Results Rates of verbal aggression perpetrated by young adults declined with the intimacy of the relationship, such that aggression against a partner (72%) exceeded aggression directed at friends (43%) and strangers (34%). Similar rates of physical violence (about 9%) were reportedly perpetrated against partners, friends, and strangers. Adjusting for a range of personal characteristics, both adverse childhood experiences and recent stressors in these young adult lives exhibited direct associations with verbal and physically aggressive outcomes. Conclusions In models of verbal and physical aggression across relationship contexts, childhood adversity exhibits lasting effects unaccounted for by important proximal life circumstances, including recent life stressors, mental health, and substance use behaviors. These results provide empirical insights for clinical treatment of young adults prone to aggressive conflicts as well as input to positive youth development programming to foster healthy approaches to conflict.","Verbal aggression, Physical violence, Intimate partner violence, Young adult relationships, Adverse childhood experiences, Life stressors, Interpersonal conflict","",""
"Book Chapter","","Hackfort D,Schinke RJ,Strauss B","S","","2019","","","255-292","Academic Press","","Dictionary of Sport Psychology","2019","9780128131503","","https://www.sciencedirect.com/science/article/pii/B978012813150300019X;http://dx.doi.org/10.1016/B978-0-12-813150-3.00019-X","10.1016/B978-0-12-813150-3.00019-X","","","",""
"Journal Article","Zabelina DL,Robinson MD,Anicha CL","","The psychological tradeoffs of self-control: A multi-method investigation","Personality and Individual Differences","2007","43","3","463-473","","","","2007","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886907000049;http://dx.doi.org/10.1016/j.paid.2006.12.015","10.1016/j.paid.2006.12.015","A recent measure of self-control seeks to tap individual differences in the ability to override impulse and emotion (Tangney, Baumeister, & Boone, 2004). The importance of this individual difference variable is potentially very large in domains such as emotion, psychopathology, academic success, and interpersonal functioning. The present study (N=52) seeks to extend our knowledge of this individual difference variable and seeks to do so in relation to a hot/cool analysis of the construct. On the “hot” side, the study examined relations between self-control and daily affective experience, and did so in a relatively implicit manner. On the “cool” side, the study examined relations between self-control and personality consistency, and did so using multiple methods. Supporting hypotheses, findings indicated that individuals high in self-control reported less affect in their daily lives, were more consistent in their traits, and were viewed as less spontaneous and extraverted by informants. Thus, there seems to be a hot/cool tradeoff in that self-control promotes consistency, but at the expense of affect and spontaneity.","Personality, Self-control, Affect, Emotion, Language, Congruence, Informants","",""
"Journal Article","Restubog SL,Garcia PR,Wang L,Cheng D","","It’s all about control: The role of self-control in buffering the effects of negative reciprocity beliefs and trait anger on workplace deviance","Journal of Research in Personality","2010","44","5","655-660","","","","2010","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656610000905;http://dx.doi.org/10.1016/j.jrp.2010.06.007","10.1016/j.jrp.2010.06.007","Drawing upon the general aggression model, general theory of crime, and the integrative cognitive model of trait anger, we examined the role of self-control in buffering the effects of negative reciprocity beliefs and trait anger on workplace deviance. A total of 125 employees participated in the study. Results supported the hypothesized direct effects of negative reciprocity beliefs, trait anger, and self-control on archival data on workplace deviance. In addition, self-control moderated these relationships. Specifically, there was a weaker positive relationship between negative reciprocity beliefs, trait anger and workplace deviance for employees with high as opposed to low levels of self-control. These findings supported the view that self-control can override predispositions to engage in deviant behaviors.","Aggression, Negative reciprocity, Trait anger, Self-control, Individual differences","",""
"Journal Article","Prado CE,Treeby MS,Crowe SF","","Examining relationships between facial emotion recognition, self-control, and psychopathic traits in a non-clinical sample","Personality and Individual Differences","2015","80","","22-27","","","","2015","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886915001051;http://dx.doi.org/10.1016/j.paid.2015.02.013","10.1016/j.paid.2015.02.013","Although psychopathy is a low prevalence disorder, individuals with sub-clinical psychopathic traits have been shown to reside within the community. One account of psychopathy proposes that deficits in self-control play a causal role. Other theorists propose that psychopathy-related antisocial behaviour can be attributed to a constitutional deficit of empathy, resulting from an inability to interpret and respond to the affective cues of others. These theoretical perspectives may both be relevant if psychopathy is understood as a dimensional construct, with primary psychopathy the consequence of a neurological vulnerability to emotional deficits, and secondary psychopathy reflecting an environmental adaptation and subsequent failure of self-control. Using a non-clinical sample (n=479), this study examined the relationship between sub-clinical psychopathic traits, self-control and the identification of facial emotion. Both primary and secondary psychopathic traits were associated with reduced accuracy in identifying facial affect, with more pronounced impairments seen for primary psychopathy. While both primary and secondary psychopathic traits were found to be related to deficits in dispositional self-control, the effect was significantly greater for secondary psychopathy.","Psychopathy, Psychopathic personality traits, Facial emotion recognition, Primary and secondary psychopathy, Self-control deficits, Emotion perception, Non-clinical sample","",""
"Book Chapter","Baumeister RF,Monroe AE","Olson JM,Zanna MP","Chapter One - Recent Research on Free Will: Conceptualizations, Beliefs, and Processes","","2014","50","","1-52","Academic Press","","","2014","","0065-2601","https://www.sciencedirect.com/science/article/pii/B9780128002841000011;http://dx.doi.org/10.1016/B978-0-12-800284-1.00001-1","10.1016/B978-0-12-800284-1.00001-1","This chapter summarizes research on free will. Progress has been made by discarding outmoded philosophical notions in favor of exploring how ordinary people understand and use the notion of free will. The concept of responsible autonomy captures many aspects of layperson concepts of free will, including acting on one's own (i.e., not driven by external forces), choosing, using reasons and personal values, conscious reflection, and knowing and accepting consequences and moral implications. Free will can thus be understood as form of volition (action control) that evolved to enable people to live in cultural societies. Much work has shown that belief in free will (as opposed to disbelief) is associated with actions that are conducive to functioning well in culture, including helpfulness, restraint of aggression, learning via counterfactual analysis, thinking for oneself, effective job performance, and appropriate gratitude. Belief in free will increases in response to misdeeds by others, thus emphasizing the link to personal responsibility. Research on volition indicates that self-regulation, intelligent reasoning, decision making, and initiative all deplete a (common) limited energy source, akin to the folk notion of willpower and linked to the body's glucose supplies. Free will is thus not an absolute or constant property of persons but a variable, fluctuating capability—one that is nonetheless highly adaptive for individuals and society. The notion that people have free will has been invoked in multiple contexts. Legally and morally, it explains why people can be held responsible for their actions. Theologically, it was used to explain why a supposedly kind and omniscient god would send most of the people he created to hell (Walker, 1964). Yet, for such an important concept, there remains wide-ranging disagreement and confusion over its existence and its nature. For example, philosophers still debate whether humans truly have free will and, if so, under what conditions human volition deserves to be considered free (Kane, 2011). In psychology, most theorists believe that humans engage in self-control, rational choice, planning, initiative, and related acts of volition. The debate is not whether these things occur but merely whether these should be called free will. This chapter will provide an overview of recent psychology experiments concerned with free will. There are three main and quite distinct sets of problems, each with associated lines of research. The first is concerned with how people understand the idea of free will. The second concerns the causes and consequences of believing in free will. The third focuses on the actual volitional processes that guide human action.","Free will, Volition, Self-regulation, Decision making, Depletion","","Advances in Experimental Social Psychology"
"Journal Article","Kauser R,Pinquart M","","Effectiveness of an indigenous parent training program on change in parenting styles and delinquent tendencies (challenging behaviors) in Pakistan: A randomized controlled trial","Journal of Experimental Child Psychology","2019","188","","104677","","","","2019","","0022-0965","https://www.sciencedirect.com/science/article/pii/S0022096518305460;http://dx.doi.org/10.1016/j.jecp.2019.104677","10.1016/j.jecp.2019.104677","The effectiveness of an indigenous parent training program was examined within selected Pakistani families. For this purpose, 110 parents of adolescents with above-average levels of delinquent tendencies (challenging behaviors), who were screened and chosen from five randomly selected schools in Lahore, Punjab, Pakistan, participated in the study. The adolescents’ parents were randomly placed into either an intervention group or a control group. Members of the intervention group participated in seven sessions of parent training, which aimed to increase behaviors associated with an authoritative parenting style. Findings show that participants in the parent training program displayed an increase in authoritative parenting behaviors and a decrease in authoritarian and neglectful parenting behaviors at both posttest and follow-up. In addition, their children showed reductions in parent-reported challenging behaviors. Declines in challenging behaviors were explained by increases in authoritative parenting behaviors, although not all intervention effects could be explained by such increases. We conclude that, similar to Western countries, the authoritative parenting style is the most effective parenting style for managing adolescents’ challenging behaviors in Pakistan.","Parent training, Authoritative parenting, Adolescents’ challenging behaviors, Indigenous, Intervention and control groups, Randomization","",""
"Journal Article","Tong EM,Tan KW,Chor AA,Koh EP,Lee JS,Tan RW","","Humility facilitates higher self-control","Journal of Experimental Social Psychology","2016","62","","30-39","","","","2016","","0022-1031","https://www.sciencedirect.com/science/article/pii/S0022103115001183;http://dx.doi.org/10.1016/j.jesp.2015.09.008","10.1016/j.jesp.2015.09.008","Prior evidence and existing theories imply that humility engenders intra- and inter-personal attributes that facilitate self-regulatory abilities. Four experiments were conducted to test the hypothesis that humility predicts enhanced self-control. Participants who recalled humility experiences were found to be better able at sustaining their physical stamina in a handgrip task (Studies 1 and 4), resisting indulgence in chocolates (Study 2), and persevering in a frustrating tracing task (Study 3) than those who recalled neutral experiences. Studies 3 and 4 demonstrated that the effect of humility was distinct from that of self-esteem, which did not affect self-control. Study 2 ruled out two alternative hypotheses concerning achievement and compliance motives. We discuss how the findings might relate to outcomes associated with humility as evidenced in past studies.","Humility, Self-Control, Self-Esteem","",""
"Journal Article","Uziel L","","Life seems different with you around: Differential shifts in cognitive appraisal in the mere presence of others for neuroticism and impression management","Personality and Individual Differences","2015","73","","39-43","","","","2015","","0191-8869","https://www.sciencedirect.com/science/article/pii/S019188691400525X;http://dx.doi.org/10.1016/j.paid.2014.09.023","10.1016/j.paid.2014.09.023","How does mere social presence affect cognitive processes? The extant literature has focused on the impact of social presence on cognitive resources. The present study extends this work by focusing on the positivity of cognitive appraisal. Building on recent findings it was predicted that the traits neuroticism and impression management will differentially moderate the effect, such that neuroticism will be associated with a negative shift in appraisal, and impression management with a positive shift. In an experiment, participants (N=158) formed evaluations of life events either alone or in social presence. The results supported the predictions. The findings advance the knowledge about the effect of social presence on cognition, and about the role of personality in moderating responses in public social contexts.","Social facilitation, Social presence, Neuroticism, Impression management, Cognitive appraisal","",""
"Journal Article","Filevich E,Vanneste P,Brass M,Fias W,Haggard P,Kühn S","","Brain correlates of subjective freedom of choice","Consciousness and Cognition","2013","22","4","1271-1284","","","","2013","","1053-8100","https://www.sciencedirect.com/science/article/pii/S1053810013001244;http://dx.doi.org/10.1016/j.concog.2013.08.011","10.1016/j.concog.2013.08.011","The subjective feeling of free choice is an important feature of human experience. Experimental tasks have typically studied free choice by contrasting free and instructed selection of response alternatives. These tasks have been criticised, and it remains unclear how they relate to the subjective feeling of freely choosing. We replicated previous findings of the fMRI correlates of free choice, defined objectively. We introduced a novel task in which participants could experience and report a graded sense of free choice. BOLD responses for conditions subjectively experienced as free identified a postcentral area distinct from the areas typically considered to be involved in free action. Thus, the brain correlates of subjective feeling of free action were not directly related to any established brain correlates of objectively-defined free action. Our results call into question traditional assumptions about the relation between subjective experience of choosing and activity in the brain’s so-called voluntary motor areas.","Volition, Introspection, Free choice, fMRI","",""
